page,lang,surface,category,href,text,testid,matched_by,file_lines,source_labels,tracking
/es,es,home,anchor,#main-content,Saltar al contenido principal,link-skip-to-main,,,,
/es,es,home,internal,/es,,link-home,testid,client/src/components/layout/Navbar.tsx:226,,
/es,es,home,internal,/es,Estructura fiscalEstructura fiscal internacional,nav-estructura-fiscal,url,client/src/components/layout/Footer.tsx:158 | client/src/components/layout/Navbar.tsx:226 | client/src/components/layout/NavbarFunnel.tsx:15 | client/src/pages/not-found.tsx:32 | client/src/pages/start.tsx:346,,
/es,es,home,internal,/es/como-trabajamos,Cómo trabajamosCómo trabajamos,nav-como-trabajamos,,,,
/es,es,home,internal,/es/servicios,Ver todos los serviciosDiagnóstico estratégico para elegir la jurisdicción que m,nav-services-our_services,url,client/src/components/sections/Services.tsx:131 | client/src/pages/abrir-llc.tsx:838 | client/src/pages/abrir-llc.tsx:993 | client/src/pages/services/ServiceSubpage.tsx:441,,
/es,es,home,internal,/es/servicios/llc-nuevo-mexico,LLC en Nuevo MéxicoEstructura discreta con anonimato registral y carga administr,nav-services-service_llc_nm,,,,
/es,es,home,internal,/es/servicios/llc-wyoming,LLC en WyomingEl estándar global en blindaje patrimonial: privacidad reforzada y,nav-services-service_llc_wy,,,,
/es,es,home,internal,/es/servicios/llc-delaware,"LLC en DelawareLa jurisdicción de referencia para founders y fondos, exigida en ",nav-services-service_llc_de,,,,
/es,es,home,internal,/es/servicios/llc-florida,LLC en FloridaDomicilio operativo tangible en EE.UU. con acceso bancario directo,nav-services-service_llc_fl,,,,
/es,es,home,internal,/es/servicios/obten-tu-itin,"Tramita tu ITINTu identidad fiscal en EE.UU. para abrir cuentas, firmar contrato",nav-services-service_itin,,,,
/es,es,home,internal,/es/sobre-las-llc,Sobre las LLC,nav-sobre-las-llc,,,,
/es,es,home,internal,/es/preguntas-frecuentes,FAQPreguntas frecuentes,nav-faq,url,client/src/components/sections/HomeFAQ.tsx:48 | client/src/pages/services-sections.tsx:419,,
/es,es,home,internal,/es/blog,GuíasGuías fiscales,nav-guías,,,,
/es,es,home,whatsapp,https://wa.me/34614916910?text=Hola%2C%20acabo%20de%20ver%20Exentax%20y%20me%20interesa%20saber%20si%20puedo%20optimizar%20mi%20fiscalidad.%20%C2%BFCu%C3%A1ndo%20podr%C3%ADamos%20hablar%3F,WhatsApp,button-whatsapp-nav,,,,
/es,es,home,internal,/es/agendar,Agendar asesoría,button-agendar-nav,url,client/src/components/layout/FloatingMobileCTA.tsx:65 | client/src/components/layout/Navbar.tsx:388 | client/src/components/layout/Navbar.tsx:527 | client/src/components/layout/NavbarFunnel.tsx:21 | client/src/components/sections/FAQ.tsx:256 | client/src/components/sections/ForWho.tsx:150 | client/src/components/sections/Hero.tsx:113 | client/src/components/sections/HomeFinalCTA.tsx:56 | client/src/components/sections/HowItWorks.tsx:170 | client/src/components/sections/WhyUs.tsx:82 | client/src/pages/about-llc.tsx:52 | client/src/pages/abrir-llc.tsx:834 | client/src/pages/abrir-llc.tsx:990 | client/src/pages/how-we-work.tsx:111 | client/src/pages/how-we-work.tsx:234 | client/src/pages/services-sections.tsx:468 | client/src/pages/services.tsx:58 | client/src/pages/services/ServiceSubpage.tsx:153 | client/src/pages/services/ServiceSubpage.tsx:433 | client/src/pages/start.tsx:148 | client/src/pages/start.tsx:296,,
/es,es,home,internal,/es,Estructura fiscal internacional,mobile-nav-estructura-fiscal-internacional,url,client/src/components/layout/Footer.tsx:158 | client/src/components/layout/Navbar.tsx:226 | client/src/components/layout/NavbarFunnel.tsx:15 | client/src/pages/not-found.tsx:32 | client/src/pages/start.tsx:346,,
/es,es,home,internal,/es/como-trabajamos,Cómo trabajamos,mobile-nav-como-trabajamos,,,,
/es,es,home,internal,/es/sobre-las-llc,Sobre las LLC,mobile-nav-sobre-las-llc,,,,
/es,es,home,internal,/es/preguntas-frecuentes,Preguntas frecuentes,mobile-nav-preguntas-frecuentes,url,client/src/components/sections/HomeFAQ.tsx:48 | client/src/pages/services-sections.tsx:419,,
/es,es,home,internal,/es/blog,Guías fiscales,mobile-nav-guías-fiscales,,,,
/es,es,home,whatsapp,https://wa.me/34614916910?text=Hola%2C%20acabo%20de%20ver%20Exentax%20y%20me%20interesa%20saber%20si%20puedo%20optimizar%20mi%20fiscalidad.%20%C2%BFCu%C3%A1ndo%20podr%C3%ADamos%20hablar%3F,Hablar por WhatsApp,mobile-nav-hablemos,,,,
/es,es,home,internal,/es/agendar,Agendar asesoría,mobile-nav-agendar,url,client/src/components/layout/FloatingMobileCTA.tsx:65 | client/src/components/layout/Navbar.tsx:388 | client/src/components/layout/Navbar.tsx:527 | client/src/components/layout/NavbarFunnel.tsx:21 | client/src/components/sections/FAQ.tsx:256 | client/src/components/sections/ForWho.tsx:150 | client/src/components/sections/Hero.tsx:113 | client/src/components/sections/HomeFinalCTA.tsx:56 | client/src/components/sections/HowItWorks.tsx:170 | client/src/components/sections/WhyUs.tsx:82 | client/src/pages/about-llc.tsx:52 | client/src/pages/abrir-llc.tsx:834 | client/src/pages/abrir-llc.tsx:990 | client/src/pages/how-we-work.tsx:111 | client/src/pages/how-we-work.tsx:234 | client/src/pages/services-sections.tsx:468 | client/src/pages/services.tsx:58 | client/src/pages/services/ServiceSubpage.tsx:153 | client/src/pages/services/ServiceSubpage.tsx:433 | client/src/pages/start.tsx:148 | client/src/pages/start.tsx:296,,
/es,es,home,internal,/es,,link-footer-home,testid,client/src/components/layout/Footer.tsx:158,,
/es,es,home,external,https://www.instagram.com/exentax.global/,,link-footer-social-instagram,,,,
/es,es,home,external,https://www.tiktok.com/@exentax,,link-footer-social-tiktok,,,,
/es,es,home,external,https://youtube.com/@exentax?si=ECt7CjRMpI9ZRrPQ,,link-footer-social-youtube,,,,
/es,es,home,external,https://www.facebook.com/share/1Auhteo8Ad/?mibextid=wwXIfr,,link-footer-social-facebook,,,,
/es,es,home,whatsapp,https://wa.me/34614916910?text=Hola%2C%20facturo%20online%20y%20busco%20optimizar%20mi%20estructura%20fiscal%20de%20forma%20legal.%20%C2%BFPodemos%20agendar%20una%20llamada%20para%20explorar%20opciones%3F,,link-footer-social-whatsapp,,,,
/es,es,home,internal,/es,Estructura fiscal internacional,link-footer-estructura-fiscal-internacional,url,client/src/components/layout/Footer.tsx:158 | client/src/components/layout/Navbar.tsx:226 | client/src/components/layout/NavbarFunnel.tsx:15 | client/src/pages/not-found.tsx:32 | client/src/pages/start.tsx:346,,
/es,es,home,internal,/es/servicios,Servicios,link-footer-servicios,url,client/src/components/sections/Services.tsx:131 | client/src/pages/abrir-llc.tsx:838 | client/src/pages/abrir-llc.tsx:993 | client/src/pages/services/ServiceSubpage.tsx:441,,
/es,es,home,internal,/es/servicios/llc-nuevo-mexico,Nuevo México,link-footer-nuevo-méxico,,,,
/es,es,home,internal,/es/servicios/llc-wyoming,Wyoming,link-footer-wyoming,,,,
/es,es,home,internal,/es/servicios/llc-delaware,Delaware,link-footer-delaware,,,,
/es,es,home,internal,/es/servicios/llc-florida,Florida,link-footer-florida,,,,
/es,es,home,internal,/es/servicios/obten-tu-itin,Tramita tu ITIN,link-footer-tramita-tu-itin,,,,
/es,es,home,internal,/es/como-trabajamos,Cómo trabajamos,link-footer-cómo-trabajamos,,,,
/es,es,home,internal,/es/preguntas-frecuentes,Preguntas frecuentes,link-footer-preguntas-frecuentes,url,client/src/components/sections/HomeFAQ.tsx:48 | client/src/pages/services-sections.tsx:419,,
/es,es,home,internal,/es/blog,Guías fiscales,link-footer-guías-fiscales,,,,
/es,es,home,internal,/es/agendar,Habla con nosotros,link-footer-habla-con-nosotros,url,client/src/components/layout/FloatingMobileCTA.tsx:65 | client/src/components/layout/Navbar.tsx:388 | client/src/components/layout/Navbar.tsx:527 | client/src/components/layout/NavbarFunnel.tsx:21 | client/src/components/sections/FAQ.tsx:256 | client/src/components/sections/ForWho.tsx:150 | client/src/components/sections/Hero.tsx:113 | client/src/components/sections/HomeFinalCTA.tsx:56 | client/src/components/sections/HowItWorks.tsx:170 | client/src/components/sections/WhyUs.tsx:82 | client/src/pages/about-llc.tsx:52 | client/src/pages/abrir-llc.tsx:834 | client/src/pages/abrir-llc.tsx:990 | client/src/pages/how-we-work.tsx:111 | client/src/pages/how-we-work.tsx:234 | client/src/pages/services-sections.tsx:468 | client/src/pages/services.tsx:58 | client/src/pages/services/ServiceSubpage.tsx:153 | client/src/pages/services/ServiceSubpage.tsx:433 | client/src/pages/start.tsx:148 | client/src/pages/start.tsx:296,,
/es,es,home,internal,/es/legal/terminos,Términos,link-footer-es/legal/terminos,,,,
