file,line,type,label,destination,testid,tracking
client/src/components/blog/ArticleCTA.tsx,135,link,—,—,—,${pattern ?? 
client/src/components/blog/ArticleCTA.tsx,153,link,—,—,—,${pattern ?? 
client/src/components/BookingCalendar.tsx,413,whatsapp,—,"wa.me?text={t(""booking.whatsappConfirmMsg"")}",—,booking_success
client/src/components/BookingCalendar.tsx,774,whatsapp,—,"wa.me?text={t(""booking.whatsappConfirmMsg"")}",—,booking_form
client/src/components/CookieBanner.tsx,161,link,—,legal_cookies,—,—
client/src/components/layout/FloatingMobileCTA.tsx,65,link,—,book,button-floating-cta,floating_mobile_book
client/src/components/layout/Footer.tsx,79,link,—,legal_privacy,—,—
client/src/components/layout/Footer.tsx,158,link,—,home,link-footer-home,—
client/src/components/layout/Footer.tsx,228,mailto,—,mailto,link-footer-email,footer_contact
client/src/components/layout/Footer.tsx,235,whatsapp,—,"wa.me?text={t(""whatsappFooter"")}",—,footer_contact
client/src/components/layout/Navbar.tsx,226,link,—,home,link-home,—
client/src/components/layout/Navbar.tsx,376,whatsapp,—,"wa.me?text={t(""whatsappNav"")}",—,navbar
client/src/components/layout/Navbar.tsx,388,link,—,book,—,navbar_book
client/src/components/layout/Navbar.tsx,504,whatsapp,—,"wa.me?text={t(""whatsappNav"")}",—,navbar_mobile
client/src/components/layout/Navbar.tsx,527,link,—,book,—,navbar_mobile_book
client/src/components/layout/NavbarFunnel.tsx,15,link,—,home,link-funnel-home,navbar_funnel_book
client/src/components/layout/NavbarFunnel.tsx,21,link,—,book,link-funnel-consultation,navbar_funnel_book
client/src/components/sections/faq-data.tsx,120,link,—,—,—,—
client/src/components/sections/FAQ.tsx,256,link,—,book,button-faq-final-cta-booking,faq_final_book
client/src/components/sections/FAQ.tsx,264,whatsapp,—,"wa.me?text={t(""faqUI.finalCta.whatsapp"")}",—,faq_final_cta
client/src/components/sections/ForWho.tsx,150,link,—,book,button-forwho-agendar,for_who_bottom
client/src/components/sections/ForWho.tsx,157,whatsapp,—,"wa.me?text={t(""forWho.whatsappMsg2"")}",—,for_who_bottom
client/src/components/sections/Hero.tsx,113,link,—,book,—,hero_book_consultation
client/src/components/sections/Hero.tsx,122,whatsapp,—,"wa.me?text={t(""hero.whatsappMsg"")}",—,hero
client/src/components/sections/HomeFAQ.tsx,48,link,—,faq,button-home-faq-ver-todas,home_faq
client/src/components/sections/HomeFAQ.tsx,56,whatsapp,—,"wa.me?text={t(""homeFaq.cta.whatsapp"")}",—,home_faq
client/src/components/sections/HomeFinalCTA.tsx,56,link,—,book,cta-final-agendar,home_final_book
client/src/components/sections/HowItWorks.tsx,170,link,—,book,button-howitworks-agendar,how_it_works
client/src/components/sections/HowItWorks.tsx,177,whatsapp,—,"wa.me?text={t(""howItWorks.whatsappMsg"")}",—,how_it_works
client/src/components/sections/Services.tsx,131,link,—,our_services,`button-service-${i,services_block_${i}
client/src/components/sections/Services.tsx,138,whatsapp,—,"wa.me?text={t(""hero.whatsappMsg"")}",—,services_block_${i}
client/src/components/sections/WhyUs.tsx,82,link,—,book,button-whyus-agendar,why_us
client/src/components/sections/WhyUs.tsx,89,whatsapp,—,"wa.me?text={t(""whyUs.whatsappMsg"")}",—,why_us
client/src/pages/about-llc.tsx,52,link,—,book,button-llc-hero-agendar,about_llc_hero
client/src/pages/about-llc.tsx,59,whatsapp,—,"wa.me?text={t(""llcUsPage.heroWhatsappMsg"")}",—,about_llc_hero
client/src/pages/about-llc.tsx,380,link,—,—,`link-estado-${i,—
client/src/pages/abrir-llc.tsx,834,link,—,book,button-pillar-llc-hero-cta,—
client/src/pages/abrir-llc.tsx,838,link,—,our_services,button-pillar-llc-hero-services,—
client/src/pages/abrir-llc.tsx,890,link,—,—,`link-pillar-state-${i,—
client/src/pages/abrir-llc.tsx,990,link,—,book,button-pillar-cta-book,—
client/src/pages/abrir-llc.tsx,993,link,—,our_services,button-pillar-cta-services,—
client/src/pages/blog/index.tsx,42,link,—,—,`card-blog-${slug,—
client/src/pages/blog/post.tsx,321,link,—,—,`sidebar-${post.slug,—
client/src/pages/blog/post.tsx,367,link,—,—,`bottom-related-${post.slug,—
client/src/pages/blog/post.tsx,964,link,—,—,—,—
client/src/pages/blog/post.tsx,970,link,—,—,—,—
client/src/pages/go.tsx,126,whatsapp,—,"wa.me?text={t(""links.whatsappMsg"")}",—,links_page
client/src/pages/go.tsx,183,mailto,footer.social.email,mailto,icon-email,—
client/src/pages/how-we-work.tsx,111,link,—,book,button-at-hero-agendar,how_we_work_hero
client/src/pages/how-we-work.tsx,115,whatsapp,—,"wa.me?text={t(""comoFunciona.hero.waText"")}",—,how_we_work_hero
client/src/pages/how-we-work.tsx,234,link,—,book,button-at-phase1-agendar,how_we_work_phase1
client/src/pages/how-we-work.tsx,237,whatsapp,—,"wa.me?text={t(""comoFunciona.phases.phase1.cta.waText"")}",—,how_we_work_phase1
client/src/pages/not-found.tsx,32,link,—,home,link-go-home,—
client/src/pages/not-found.tsx,46,link,—,—,`link-not-found-${q.key,—
client/src/pages/not-found.tsx,56,link,—,/blog,link-not-found-blog,—
client/src/pages/services-sections.tsx,163,link,—,—,`button-solicitar-llc-${i,—
client/src/pages/services-sections.tsx,277,link,—,—,button-comparativa-agendar,—
client/src/pages/services-sections.tsx,342,whatsapp,—,"wa.me?text={t(""precios.maintenance.waTextRenewal"")}",—,services_renewal
client/src/pages/services-sections.tsx,419,link,—,faq,button-precios-ver-todas-preguntas,services_faq_advisor
client/src/pages/services-sections.tsx,426,whatsapp,—,"wa.me?text={t(""finalCta.whatsappMsg"")}",—,services_faq_advisor
client/src/pages/services-sections.tsx,468,link,—,book,button-precios-cta-agendar,services_cta
client/src/pages/services-sections.tsx,475,whatsapp,—,"wa.me?text={t(""precios.cta.waText"")}",—,services_cta
client/src/pages/services.tsx,58,link,—,book,button-precios-hero-agendar,services_hero
client/src/pages/services.tsx,66,whatsapp,—,"wa.me?text={t(""precios.hero.waText"")}",—,services_hero
client/src/pages/services.tsx,109,link,—,—,`card-services-subpage-${c.tag,—
client/src/pages/services/ServiceSubpage.tsx,153,link,—,book,`button-${trackingKey,service_${trackingKey}_hero
client/src/pages/services/ServiceSubpage.tsx,433,link,—,book,`button-${trackingKey,—
client/src/pages/services/ServiceSubpage.tsx,441,link,—,our_services,`button-${trackingKey,—
client/src/pages/start.tsx,148,link,—,book,link-agendar-start,—
client/src/pages/start.tsx,296,link,—,book,button-agendar-decision,start_decision
client/src/pages/start.tsx,346,link,—,home,link-start-home,—
client/src/pages/start.tsx,356,link,—,legal_cookies,link-start-cookies,—
client/src/pages/start.tsx,360,link,—,legal_privacy,link-start-privacy,—
