page,lang,surface,category,href,text,testid,hydration_timeout
/es,es,home,anchor,#main-content,Saltar al contenido principal,link-skip-to-main,false
/es,es,home,internal,/es,,link-home,false
/es,es,home,internal,/es,Estructura fiscalEstructura fiscal internacional,nav-estructura-fiscal,false
/es,es,home,internal,/es/como-trabajamos,Cómo trabajamosCómo trabajamos,nav-como-trabajamos,false
/es,es,home,internal,/es/servicios,Ver todos los serviciosDiagnóstico estratégico para elegir la jurisdicción que m,nav-services-our_services,false
/es,es,home,internal,/es/servicios/llc-nuevo-mexico,LLC en Nuevo MéxicoEstructura discreta con anonimato registral y carga administr,nav-services-service_llc_nm,false
/es,es,home,internal,/es/servicios/llc-wyoming,LLC en WyomingEl estándar global en blindaje patrimonial: privacidad reforzada y,nav-services-service_llc_wy,false
/es,es,home,internal,/es/servicios/llc-delaware,"LLC en DelawareLa jurisdicción de referencia para founders y fondos, exigida en ",nav-services-service_llc_de,false
/es,es,home,internal,/es/servicios/llc-florida,LLC en FloridaDomicilio operativo tangible en EE.UU. con acceso bancario directo,nav-services-service_llc_fl,false
/es,es,home,internal,/es/servicios/obten-tu-itin,"Tramita tu ITINTu identidad fiscal en EE.UU. para abrir cuentas, firmar contrato",nav-services-service_itin,false
/es,es,home,internal,/es/sobre-las-llc,Sobre las LLC,nav-sobre-las-llc,false
/es,es,home,internal,/es/preguntas-frecuentes,FAQPreguntas frecuentes,nav-faq,false
/es,es,home,internal,/es/blog,GuíasGuías fiscales,nav-guías,false
/es,es,home,whatsapp,https://wa.me/34614916910?text=Hola%2C%20acabo%20de%20ver%20Exentax%20y%20me%20interesa%20saber%20si%20puedo%20optimizar%20mi%20fiscalidad.%20%C2%BFCu%C3%A1ndo%20podr%C3%ADamos%20hablar%3F,WhatsApp,button-whatsapp-nav,false
/es,es,home,internal,/es/agendar,Agendar asesoría,button-agendar-nav,false
/es,es,home,internal,/es,Estructura fiscal internacional,mobile-nav-estructura-fiscal-internacional,false
/es,es,home,internal,/es/como-trabajamos,Cómo trabajamos,mobile-nav-como-trabajamos,false
/es,es,home,internal,/es/sobre-las-llc,Sobre las LLC,mobile-nav-sobre-las-llc,false
/es,es,home,internal,/es/preguntas-frecuentes,Preguntas frecuentes,mobile-nav-preguntas-frecuentes,false
/es,es,home,internal,/es/blog,Guías fiscales,mobile-nav-guías-fiscales,false
/es,es,home,whatsapp,https://wa.me/34614916910?text=Hola%2C%20acabo%20de%20ver%20Exentax%20y%20me%20interesa%20saber%20si%20puedo%20optimizar%20mi%20fiscalidad.%20%C2%BFCu%C3%A1ndo%20podr%C3%ADamos%20hablar%3F,Hablar por WhatsApp,mobile-nav-hablemos,false
/es,es,home,internal,/es/agendar,Agendar asesoría,mobile-nav-agendar,false
/es,es,home,internal,/es,,link-footer-home,false
/es,es,home,external,https://www.instagram.com/exentax.global/,,link-footer-social-instagram,false
/es,es,home,external,https://www.tiktok.com/@exentax,,link-footer-social-tiktok,false
/es,es,home,external,https://youtube.com/@exentax?si=ECt7CjRMpI9ZRrPQ,,link-footer-social-youtube,false
/es,es,home,external,https://www.facebook.com/share/1Auhteo8Ad/?mibextid=wwXIfr,,link-footer-social-facebook,false
/es,es,home,whatsapp,https://wa.me/34614916910?text=Hola%2C%20facturo%20online%20y%20busco%20optimizar%20mi%20estructura%20fiscal%20de%20forma%20legal.%20%C2%BFPodemos%20agendar%20una%20llamada%20para%20explorar%20opciones%3F,,link-footer-social-whatsapp,false
/es,es,home,internal,/es,Estructura fiscal internacional,link-footer-estructura-fiscal-internacional,false
/es,es,home,internal,/es/servicios,Servicios,link-footer-servicios,false
/es,es,home,internal,/es/servicios/llc-nuevo-mexico,Nuevo México,link-footer-nuevo-méxico,false
/es,es,home,internal,/es/servicios/llc-wyoming,Wyoming,link-footer-wyoming,false
/es,es,home,internal,/es/servicios/llc-delaware,Delaware,link-footer-delaware,false
/es,es,home,internal,/es/servicios/llc-florida,Florida,link-footer-florida,false
